c_t,o_t,o,h,l,c,v
2022-10-01 06:35:00,2022-10-01 06:30:00,19290.08,19321.73,19289.08,19311.94,571.4616
2022-10-01 06:40:00,2022-10-01 06:35:00,19311.94,19324.55,19299.75,19324.55,506.12771
2022-10-01 06:45:00,2022-10-01 06:40:00,19323.85,19324.94,19294.53,19307.27,590.27374
2022-10-01 06:50:00,2022-10-01 06:45:00,19307.28,19315.38,19288.28,19290.66,497.27198
2022-10-01 06:55:00,2022-10-01 06:50:00,19291.34,19306.42,19288.51,19294.94,394.24866
2022-10-01 07:00:00,2022-10-01 06:55:00,19295.18,19296.78,19284.41,19292.82,375.34134
2022-10-01 07:05:00,2022-10-01 07:00:00,19293.49,19298.23,19280.45,19281.16,472.86731
2022-10-01 07:10:00,2022-10-01 07:05:00,19281.74,19283.32,19258.53,19263.59,646.84854
2022-10-01 07:15:00,2022-10-01 07:10:00,19262.57,19300.83,19261.79,19298.99,568.28374
2022-10-01 07:20:00,2022-10-01 07:15:00,19298.99,19316.09,19289.96,19314.72,675.84274
2022-10-01 07:25:00,2022-10-01 07:20:00,19314.05,19317.02,19287.31,19292.04,1100.65522
2022-10-01 07:30:00,2022-10-01 07:25:00,19292.61,19293.29,19276.06,19283.05,476.8299
2022-10-01 07:35:00,2022-10-01 07:30:00,19282.92,19303.57,19268.82,19301.72,551.70409
2022-10-01 07:40:00,2022-10-01 07:35:00,19302.55,19314.28,19296.45,19310.01,480.25
2022-10-01 07:45:00,2022-10-01 07:40:00,19310.01,19316.73,19297.61,19302.49,600.00883
2022-10-01 07:50:00,2022-10-01 07:45:00,19302.49,19343.03,19298.06,19321.78,952.82563
2022-10-01 07:55:00,2022-10-01 07:50:00,19322.87,19322.99,19306.12,19321.32,970.50549
2022-10-01 08:00:00,2022-10-01 07:55:00,19321.32,19322.31,19306.37,19309.84,410.56131
2022-10-01 08:05:00,2022-10-01 08:00:00,19309.84,19320.9,19306.0,19318.51,446.71297
2022-10-01 08:10:00,2022-10-01 08:05:00,19318.54,19321.82,19302.64,19316.19,483.62766
2022-10-01 08:15:00,2022-10-01 08:10:00,19315.23,19319.83,19303.88,19318.08,451.39767
2022-10-01 08:20:00,2022-10-01 08:15:00,19318.08,19334.7,19316.25,19330.95,546.82289
2022-10-01 08:25:00,2022-10-01 08:20:00,19330.95,19349.31,19324.61,19340.35,730.63595
2022-10-01 08:30:00,2022-10-01 08:25:00,19341.63,19345.91,19329.4,19338.05,610.274
2022-10-01 08:35:00,2022-10-01 08:30:00,19339.15,19348.96,19330.29,19344.29,472.14473
2022-10-01 08:40:00,2022-10-01 08:35:00,19343.66,19346.75,19331.61,19337.18,429.40939
2022-10-01 08:45:00,2022-10-01 08:40:00,19337.18,19343.71,19330.52,19337.05,472.69154
2022-10-01 08:50:00,2022-10-01 08:45:00,19335.89,19341.08,19329.0,19332.92,444.88814
2022-10-01 08:55:00,2022-10-01 08:50:00,19332.82,19342.69,19330.98,19335.09,322.51007
2022-10-01 09:00:00,2022-10-01 08:55:00,19335.09,19336.6,19320.35,19335.03,467.54262
2022-10-01 09:05:00,2022-10-01 09:00:00,19335.03,19364.09,19334.19,19353.39,568.60873
2022-10-01 09:10:00,2022-10-01 09:05:00,19353.39,19367.98,19336.39,19344.88,503.88573
2022-10-01 09:15:00,2022-10-01 09:10:00,19344.88,19347.13,19329.14,19336.34,388.86901
2022-10-01 09:20:00,2022-10-01 09:15:00,19336.34,19342.94,19329.71,19331.47,445.24757
2022-10-01 09:25:00,2022-10-01 09:20:00,19330.56,19336.55,19319.41,19329.21,389.19504
2022-10-01 09:30:00,2022-10-01 09:25:00,19329.21,19331.73,19322.86,19326.13,298.83225
2022-10-01 09:35:00,2022-10-01 09:30:00,19325.66,19326.92,19301.11,19320.72,517.84187
2022-10-01 09:40:00,2022-10-01 09:35:00,19321.37,19335.55,19312.66,19331.94,417.57469
2022-10-01 09:45:00,2022-10-01 09:40:00,19332.84,19333.57,19322.14,19330.05,376.82814
2022-10-01 09:50:00,2022-10-01 09:45:00,19330.05,19337.92,19326.09,19331.8,368.19768
2022-10-01 09:55:00,2022-10-01 09:50:00,19331.8,19338.89,19326.31,19336.96,297.88592
2022-10-01 10:00:00,2022-10-01 09:55:00,19336.96,19349.34,19320.97,19329.5,490.81824
